Модель;Цена полотна;Цена коробки;Цена наличника;Цена комплекта;Цена за полотно округл;Цена коробки округл;Цена наличника округл;цена комплекта округл;Разница
Багет 32 Эмаль Белая RAL 9003;26550;1350;864;34245;26590;1400;900;34590;345
Бремен 1/4 Эмаль Белая RAL 9003;26892;1350;864;34587;26890;1400;900;34890;303
Бремен 1/4 Эмаль Галечный Серый RAL 7032;26892;1530;954;35487;26890;1500;1000;35640;153
Браво-0.10.А Real Oak;12744;;;;12690;0;0;12690;12690
Браво-0.10.П Clay Silk;13824;;;;13790;0;0;13790;13790
Браво-0.21.А Real Oak;12204;;;;12190;0;0;12190;12190
Браво-0.21.П Clay Silk;13824;;;;13790;0;0;13790;13790
Браво-0.24.П Clay Silk;13824;;;;13790;0;0;13790;13790
Браво-0.А Real Oak;11664;;;;11690;0;0;11690;11690
Браво-0.П Cream Silk;13104;;;;13090;0;0;13090;13090
Браво-0.П Grey Silk;13104;;;;13090;0;0;13090;13090
Браво-0.П Stormy Silk;13104;;;;13090;0;0;13090;13090
Браво-0.П White Silk;13104;;;;13090;0;0;13090;13090
Браво-0.П Clay Silk;13104;;;;13090;0;0;13090;13090
Престиж 1 Эмаль Светло-Серая RAL 7047;22680;;;;22690;0;0;22690;22690
Престиж 1 Эмаль Светло-Серая RAL 7047;24750;;;;24790;0;0;24790;24790
